COUNTRY,PRODUCT,FLOW,UNIT,TIME,VALUE,YEAR,MONTH
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-01-01,1.31,2015,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-02-01,1.31,2015,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-03-01,1.31,2015,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-04-01,1.35,2015,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-05-01,1.41,2015,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-06-01,1.44,2015,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-07-01,1.42,2015,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-08-01,1.37,2015,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-09-01,1.31,2015,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-10-01,1.27,2015,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-11-01,1.22,2015,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2015-12-01,1.21,2015,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-01-01,1.17,2016,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-02-01,1.16,2016,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-03-01,1.17,2016,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-04-01,1.24,2016,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-05-01,1.29,2016,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-06-01,1.3,2016,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-07-01,1.25,2016,7
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-08-01,1.23,2016,8
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-09-01,1.25,2016,9
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-10-01,1.26,2016,10
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-11-01,1.21,2016,11
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2016-12-01,1.23,2016,12
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-01-01,1.26,2017,1
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-02-01,1.28,2017,2
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-03-01,1.25,2017,3
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-04-01,1.27,2017,4
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-05-01,1.3,2017,5
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-06-01,1.3,2017,6
Austria,Gasolina (unidad/litro),Precio Total,Dolar Estadounidense,2017-07-01,1.32,2017,7
