name,geoname,Value(€/MWh),date,hours (utc),year,month
Precio diario,España,66.88,2018-12-31,23:00,2018,12
Precio diario,España,66.88,2019-01-01,00:00,2019,1
Precio diario,España,66.0,2019-01-01,01:00,2019,1
Precio diario,España,63.64,2019-01-01,02:00,2019,1
Precio diario,España,58.85,2019-01-01,03:00,2019,1
Precio diario,España,55.47,2019-01-01,04:00,2019,1
Precio diario,España,56.0,2019-01-01,05:00,2019,1
Precio diario,España,61.09,2019-01-01,06:00,2019,1
Precio diario,España,61.01,2019-01-01,07:00,2019,1
Precio diario,España,61.0,2019-01-01,08:00,2019,1
Precio diario,España,63.0,2019-01-01,09:00,2019,1
Precio diario,España,63.0,2019-01-01,10:00,2019,1
Precio diario,España,64.03,2019-01-01,11:00,2019,1
Precio diario,España,65.88,2019-01-01,12:00,2019,1
Precio diario,España,65.01,2019-01-01,13:00,2019,1
Precio diario,España,60.84,2019-01-01,14:00,2019,1
Precio diario,España,61.09,2019-01-01,15:00,2019,1
Precio diario,España,63.08,2019-01-01,16:00,2019,1
Precio diario,España,66.66,2019-01-01,17:00,2019,1
Precio diario,España,67.06,2019-01-01,18:00,2019,1
Precio diario,España,67.26,2019-01-01,19:00,2019,1
Precio diario,España,68.07,2019-01-01,20:00,2019,1
Precio diario,España,67.08,2019-01-01,21:00,2019,1
Precio diario,España,64.03,2019-01-01,22:00,2019,1
Precio diario,España,61.74,2019-01-01,23:00,2019,1
Precio diario,España,53.0,2019-01-02,00:00,2019,1
Precio diario,España,48.23,2019-01-02,01:00,2019,1
Precio diario,España,47.23,2019-01-02,02:00,2019,1
Precio diario,España,45.24,2019-01-02,03:00,2019,1
Precio diario,España,45.7,2019-01-02,04:00,2019,1
